268; 52; 4/1/17; 6/9/17; 0; 0; 0; 0.00; 0.00; 0.00;
270; 267; 4/1/17; 6/9/17; 1; 0; 0; 21377.53; 0.00; 0.00;
271; 671; 4/1/17; 6/9/17; 1; 0; 0; 7649.83; 0.00; 0.00;
272; 671; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
276; 439; 4/1/17; 6/9/17; 1; 0; 1; 394.10; 0.00; 706.24;
285; 234; 4/1/17; 6/9/17; 1; 0; 0; 1760.11; 0.00; 0.00;
288; 52; 4/1/17; 6/9/17; 1; 0; 0; 106038.71; 0.00; 0.00;
290; 671; 4/1/17; 6/9/17; 1; 0; 0; 17414.75; 0.00; 0.00;
292; 48; 4/1/17; 6/9/17; 1; 0; 1; 139201.12; 0.00; 0.00;
294; 222; 4/1/17; 6/9/17; 1; 0; 0; 5465.89; 0.00; 0.00;
301; 52; 4/1/17; 6/9/17; 1; 0; 1; 98965.86; 0.00; 6258.67;
307; 222; 4/1/17; 6/9/17; 1; 0; 0; 6469.12; 0.00; 0.00;
314; 53; 4/1/17; 6/9/17; 1; 0; 0; 17310.97; 0.00; 0.00;
322; 439; 4/1/17; 6/9/17; 1; 0; 1; 75267.15; 0.00; 7347.35;
332; 671; 4/1/17; 6/9/17; 1; 0; 0; 2642.93; 0.00; 0.00;
341; 135; 4/1/17; 5/3/17; 1; 0; 0; 0.00; 0.00; 0.00;
343; 439; 4/1/17; 6/9/17; 1; 0; 0; 780.58; 0.00; 0.00;
346; 64; 4/1/17; 6/9/17; 1; 0; 1; 74240.37; 0.00; 1143.09;
352; 439; 4/1/17; 6/9/17; 1; 0; 0; 21685.96; 0.00; 0.00;
353; 52; 4/1/17; 6/9/17; 1; 0; 1; 32422.13; 0.00; 0.00;
356; 267; 4/1/17; 6/9/17; 1; 0; 1; 344.49; 0.00; 0.00;
361; 191; 4/1/17; 6/9/17; 1; 1; 0; 123281.37; 306.06; 0.00;
362; 20; 4/1/17; 6/9/17; 1; 0; 1; 118635.00; 0.00; 10703.88;
385; 222; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
386; 234; 4/1/17; 6/9/17; 1; 0; 0; 995.04; 0.00; 0.00;
390; 52; 4/1/17; 6/9/17; 1; 0; 1; 195.21; 0.00; 514.79;
401; 222; 4/1/17; 6/9/17; 0; 1; 0; 0.00; 313.87; 0.00;
404; 52; 4/1/17; 6/9/17; 1; 0; 1; 96911.66; 0.00; 0.00;
412; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
417; 267; 4/1/17; 6/9/17; 1; 0; 0; 13898.23; 0.00; 0.00;
418; 207; 4/1/17; 6/9/17; 1; 0; 0; 0.00; 0.00; 0.00;
421; 234; 4/1/17; 6/9/17; 1; 0; 0; 5625.04; 0.00; 0.00;
422; 234; 4/1/17; 6/9/17; 1; 0; 1; 15834.42; 0.00; 1238.61;
